weeks,IRR ,Lower ,Upper ,specification 
-4,0.586,0.81,1.23,1
-3,0.812,0.5,1.24,1
-2,1.008,0.34,1,1
-1,Ref,Ref,Ref,1
1,1.179,0.82,1.69,1
2,1.249,0.66,2.35,1
3,1.304,0.53,3.23,1
4,1.73,0.55,5.43,1
5,3.522,1.16,10.69,1
6,5.49,1.82,16.56,1
7,9.303,2.98,29.05,1
8,10.84,3.74,31.46,1
-4,0.61,0.33,1.11,2
-3,0.84,0.5,1.41,2
-2,0.97,0.78,1.22,2
-1,Ref,1,1,2
1,1.17,0.82,1.66,2
2,1.19,0.64,2.22,2
3,1.12,0.47,2.7,2
4,1.38,0.42,4.56,2
5,2.75,0.85,8.83,2
6,4.34,1.4,13.52,2
7,7.04,2.16,22.99,2
8,9.91,3.61,27.18,2
9,9.18,4.43,19.03,2
10,9.39,4.57,19.31,2
11,7.4,3.43,15.97,2
12,6.21,2.78,13.8,2
-4,0.53,0.27,1.02,3
-3,0.78,0.44,1.37,3
-2,0.97,0.79,1.18,3
-1,1,1,1,3
1,1.47,0.94,2.32,3
2,1.55,0.74,3.23,3
3,1.84,0.84,4,3
4,2.31,0.88,6.09,3
5,3.38,1.23,9.29,3
6,4.62,1.7,12.5,3
7,6.6,2.32,18.77,3
8,10.66,4.93,23,3
9,13.03,8.72,19.48,3
10,16.18,10.46,25.03,3
11,15.16,8.57,26.82,3
12,12.93,7.01,23.86,3
